driver,lap,time
2,5,1:33.737
2,6,1:33.373
2,7,1:33.942
2,8,1:33.343
2,9,1:33.166
2,10,1:33.141
2,11,1:33.452
2,12,1:34.138
2,13,1:34.333
2,14,1:33.628
2,15,1:33.813
2,16,1:36.300
2,17,1:34.318
2,18,1:33.618
2,19,1:33.529
2,20,1:33.493
2,21,1:37.521
2,22,1:47.556
2,23,1:29.817
2,24,1:31.494
2,25,1:31.304
2,26,1:29.786
2,27,1:29.499
2,28,1:30.124
2,29,1:33.926
2,30,1:32.605
2,31,1:29.433
2,32,1:29.800
2,33,1:30.507
2,34,1:30.493
2,35,1:31.500
2,36,1:33.604
2,37,1:48.332
2,38,1:27.915
2,39,1:28.282
2,40,1:29.662
2,41,1:28.529
2,42,1:28.712
2,43,1:28.019
2,44,1:28.581
2,45,1:29.902
2,46,1:29.042
2,47,1:29.479
2,48,1:30.437
2,49,1:30.117
2,50,1:33.128
2,51,1:45.392
2,52,1:29.301
2,53,1:27.367
2,54,1:28.349
2,55,1:27.999
2,56,1:27.385
2,57,1:27.184
2,58,1:28.035
2,59,1:28.945
2,60,1:27.181
2,61,1:26.958
2,62,1:27.192
2,63,1:27.166
2,64,1:27.402
2,65,1:28.297
16,1,1:46.107
16,2,1:35.586
16,3,1:35.026
16,4,1:34.610
16,5,1:34.435
16,6,1:34.268
16,7,1:34.115
16,8,1:34.028
16,9,1:33.824
16,10,1:34.298
16,11,1:35.636
16,12,1:35.169
16,13,1:36.397
16,14,1:49.845
16,15,1:31.573
16,16,1:31.599
16,17,1:31.212
16,18,1:31.064
16,19,1:30.856
16,20,1:30.874
16,21,1:30.598
16,22,1:31.013
16,23,1:31.312
16,24,1:31.674
16,25,1:32.490
16,26,1:32.805
16,27,1:31.943
16,28,1:33.101
16,29,1:33.850
16,30,1:36.485
16,31,1:48.603
16,32,1:30.669
16,33,1:30.347
16,34,1:30.599
16,35,1:30.541
16,36,1:30.061
16,37,1:29.908
16,38,1:31.064
16,39,1:30.074
16,40,1:30.149
16,41,1:32.513
16,42,1:30.146
16,43,1:30.319
16,44,1:30.610
16,45,1:30.931
16,46,1:32.981
16,47,1:31.226
16,48,1:34.405
16,49,1:50.997
16,50,1:30.024
16,51,1:30.252
16,52,1:28.791
16,53,1:29.588
16,54,1:29.615
16,55,1:28.844
16,56,1:29.125
16,57,1:29.092
16,58,1:29.001
16,59,1:29.220
16,60,1:28.860
16,61,1:29.114
16,62,1:31.231
16,63,1:29.638
16,64,1:29.329
16,65,1:29.677
24,1,1:46.737
24,2,1:36.641
24,3,1:36.013
24,4,1:35.448
24,5,1:35.208
24,6,1:35.010
24,7,1:35.231
24,8,1:36.627
24,9,1:35.100
24,10,1:35.092
24,11,1:34.931
24,12,1:35.132
24,13,1:35.039
24,14,1:34.934
24,15,1:35.966
24,16,1:38.511
24,17,1:54.148
24,18,1:34.115
24,19,1:35.071
24,20,1:35.481
24,21,1:34.594
24,22,1:33.884
24,23,1:34.269
24,24,1:34.560
24,25,1:36.364
24,26,1:35.577
24,27,1:35.601
24,28,1:35.262
22,1,1:47.077
22,2,1:35.180
22,3,1:35.129
22,4,1:34.693
22,5,1:34.716
22,6,1:34.248
22,7,1:34.265
22,8,1:33.952
22,9,1:33.675
22,10,1:34.548
22,11,1:37.342
22,12,1:58.040
22,13,1:30.996
22,14,1:32.666
22,15,1:31.586
22,16,1:31.292
22,17,1:31.015
22,18,1:31.124
22,19,1:31.933
22,20,1:32.571
22,21,1:32.727
22,22,1:32.647
22,23,1:34.975
22,24,1:48.174
22,25,1:30.263
22,26,1:30.224
22,27,1:30.302
22,28,1:30.116
22,29,1:30.416
22,30,1:30.681
22,31,1:30.846
22,32,1:31.041
22,33,1:31.463
22,34,1:32.040
22,35,1:34.100
22,36,1:49.967
22,37,1:31.595
22,38,1:31.559
22,39,1:31.456
22,40,1:31.262
22,41,1:31.786
22,42,1:30.810
22,43,1:30.807
22,44,1:31.118
22,45,1:31.799
22,46,1:32.340
22,47,1:31.190
22,48,1:31.375
22,49,1:32.214
22,50,1:31.863
22,51,1:31.947
22,52,1:32.256
22,53,1:32.397
22,54,1:34.907
22,55,1:47.214
22,56,1:27.222
22,57,1:28.652
22,58,1:27.808
22,59,1:27.629
22,60,1:26.891
22,61,1:27.991
22,62,1:28.055
22,63,1:27.694
22,64,1:28.097
10,1,1:47.556
10,2,1:36.456
10,3,1:35.865
10,4,1:35.863
10,5,1:35.340
10,6,1:35.206
10,7,1:35.231
10,8,1:35.914
10,9,1:35.579
10,10,1:35.306
10,11,1:35.491
10,12,1:35.600
10,13,1:36.679
10,14,1:35.204
10,15,1:36.371
10,16,1:39.174
10,17,1:53.867
10,18,1:33.553
10,19,1:35.174
10,20,1:34.599
10,21,1:33.441
10,22,1:33.464
10,23,1:33.532
10,24,1:35.754
10,25,1:34.068
10,26,1:33.257
10,27,1:33.609
10,28,1:34.519
10,29,1:33.902
10,30,1:34.787
10,31,1:34.605
10,32,1:33.458
10,33,1:34.443
10,34,1:33.311
10,35,1:33.519
10,36,1:34.194
10,37,1:34.848
10,38,1:38.092
10,39,1:58.160
10,40,1:31.635
10,41,1:32.350
10,42,1:31.865
10,43,1:31.717
10,44,1:31.667
10,45,1:32.038
10,46,1:33.228
10,47,1:32.079
10,48,1:32.350
10,49,1:35.229
10,50,1:32.624
10,51,1:32.693
10,52,1:32.102
10,53,1:35.424
10,54,1:53.990
10,55,1:34.413
10,56,1:31.902
10,57,1:34.935
10,58,1:33.882
10,59,1:33.410
10,60,1:35.358
10,61,1:37.097
10,62,1:35.565
10,63,1:40.596
39,1,1:48.183
39,2,1:36.537
39,3,1:36.010
39,4,1:35.697
39,5,1:35.293
39,6,1:37.073
39,7,1:35.581
39,8,1:35.757
39,9,1:35.215
39,10,1:35.368
39,11,1:36.244
39,12,1:36.932
39,13,1:36.338
39,14,1:42.710
39,15,1:57.328
39,16,1:34.425
39,17,1:34.924
39,18,1:35.434
39,19,1:34.591
39,20,1:38.738
39,21,1:34.459
39,22,1:34.269
39,23,1:35.896
39,24,1:37.410
39,25,1:36.444
39,26,1:38.002
39,27,1:40.526
39,28,1:43.390
39,29,1:59.895
39,30,1:34.776
39,31,1:33.861
39,32,1:33.639
39,33,1:32.848
39,34,1:34.534
39,35,1:37.005
39,36,1:34.523
39,37,1:34.896
39,38,1:35.721
39,39,1:33.732
39,40,1:36.245
39,41,1:37.364
39,42,1:36.971
39,43,1:36.142
39,44,1:36.358
39,45,1:36.294
39,46,1:37.852
39,47,1:43.332
39,48,1:56.984
39,49,1:40.289
39,50,1:39.056
39,51,1:34.902
39,52,1:35.230
39,53,1:36.604
39,54,1:37.627
39,55,1:34.123
39,56,1:34.169
39,57,1:34.574
39,58,1:34.454
39,59,1:36.037
39,60,1:35.563
39,61,1:36.257
816,1,1:48.573
816,2,1:36.553
816,3,1:36.056
816,4,1:35.639
816,5,1:35.593
816,6,1:35.551
816,7,1:35.278
816,8,1:35.698
816,9,1:35.150
816,10,1:35.486
816,11,1:35.450
816,12,1:35.632
816,13,1:36.440
816,14,1:36.273
816,15,1:37.136
816,16,1:37.238
816,17,1:40.259
816,18,1:55.230
816,19,1:32.982
816,20,1:33.585
816,21,1:35.716
